SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
FBADS_AD;ACCOUNT_ID;VARCHAR;;Yes
FBADS_AD;ACCOUNT_NAME;VARCHAR;;Yes
FBADS_AD;ACTION_COMMENT;INT64;;Yes
FBADS_AD;ACTION_PAGE_ENGAGEMENT;INT64;;Yes
FBADS_AD;ACTIONS;INT64;;Yes
FBADS_AD;AD_GROUP_ID;VARCHAR;;Yes
FBADS_AD;AD_GROUP_NAME;VARCHAR;;Yes
FBADS_AD;AD_ID;VARCHAR;;Yes
FBADS_AD;AD_NAME;VARCHAR;;Yes
FBADS_AD;CAMPAIGN_NAME;VARCHAR;;Yes
FBADS_AD;CLICKS;INT64;;Yes
FBADS_AD;COST_USD;DOUBLE;;Yes
FBADS_AD;DATE;DATE;;Yes
FBADS_AD;ESTIMATED_AD_RECALLERS;INT64;;Yes
FBADS_AD;IMPRESSION_DEVICE;VARCHAR;;Yes
FBADS_AD;IMPRESSIONS;INT64;;Yes
FBADS_AD;OFFSITE_CONVERSIONS;INT64;;Yes
FBADS_AD;PUBLISHER_PLATFORM;VARCHAR;;Yes
FBADS_AD;REACH;INT64;;Yes
FBADS_AD;SPEND_CAP;DOUBLE;;Yes
FBADS_AGE_GENDER;AGE;VARCHAR;;Yes
FBADS_AGE_GENDER;CLICKS;INT64;;Yes
FBADS_AGE_GENDER;GENDER;VARCHAR;;Yes
FBADS_AGE_GENDER;IMPRESSIONS;INT64;;Yes
FBADS_AGE_GENDER;ONSITE_CONVERSION_LEAD_GROUPED;INT64;;Yes
FBADS_CAMPAIGN;CAMPAIGN_BUYING_TYPE;VARCHAR;;Yes
FBADS_CAMPAIGN;CAMPAIGN_DAILY_BUDGET;DOUBLE;;Yes
FBADS_CAMPAIGN;CAMPAIGN_END_DATE;DATE;;Yes
FBADS_CAMPAIGN;CAMPAIGN_ID;VARCHAR;;Yes
FBADS_CAMPAIGN;CAMPAIGN_NAME;VARCHAR;;Yes
FBADS_CAMPAIGN;CAMPAIGN_OBJECTIVE;VARCHAR;;Yes
FBADS_CAMPAIGN;CAMPAIGN_START_DATE;DATE;;Yes
FBADS_CAMPAIGN;CAMPAIGN_STATUS;VARCHAR;;Yes
FBADS_CAMPAIGN;COST_USD;DOUBLE;;Yes
FBADS_CAMPAIGN;DATE;DATE;;Yes
FBADS_CAMPAIGN;PLATFORM_POSITION;VARCHAR;;Yes
FBADS_CAMPAIGN;PUBLISHER_PLATFORM;VARCHAR;;Yes
FBADS_CONVERSION;ACTION_DEVICE;VARCHAR;;Yes
FBADS_CONVERSION;ACTIONS;INT64;;Yes
FBADS_CONVERSION;ACTION_TYPE;VARCHAR;;Yes
FBADS_CONVERSION;CAMPAIGN_ID;VARCHAR;;Yes
FBADS_CONVERSION;CAMPAIGN_NAME;VARCHAR;;Yes
FBADS_CONVERSION;DATE;DATE;;Yes
FBADS_CONVERSION;PUBLISHER_PLATFORM;VARCHAR;;Yes
FBADS_GEO;AD_ID;VARCHAR;;No
FBADS_GEO;AD_NAME;VARCHAR;;No
FBADS_GEO;CAMPAIGN_ID;VARCHAR;;No
FBADS_GEO;CAMPAIGN_NAME;VARCHAR;;No
FBADS_GEO;CLICKS;INT64;;No
FBADS_GEO;COUNTRY_CODE;VARCHAR;;No
FBADS_GEO;COUNTRY_NAME;VARCHAR;;No
FBADS_GEO;DATE;DATE;;No
FBADS_GEO;IMPRESSIONS;INT64;;No
FBADS_GEO;ONSITE_CONVERSION_LEAD_GROUPED;INT64;;No
FBADS_GEO;REGION;VARCHAR;;No
FBADS_VIDEO;CAMPAIGN_NAME;VARCHAR;;Yes
FBADS_VIDEO;PUBLISHER_PLATFORM;VARCHAR;;Yes
FBADS_VIDEO;VIDEO_AVERAGE_WATCH_TIME;DOUBLE;;Yes
